Anime,Character,Role,Favorites,char_url
Monster,"Liebert, Anna",Main,1165,https://myanimelist.net/character/720/Anna_Liebert
Monster,"Liebert, Johan",Main,26219,https://myanimelist.net/character/719/Johan_Liebert
Monster,"Tenma, Kenzou",Main,11260,https://myanimelist.net/character/718/Kenzou_Tenma
Violet Evergarden Movie,"Bougainvillea, Gilbert",Main,817,https://myanimelist.net/character/152271/Gilbert_Bougainvillea
Violet Evergarden Movie,"Evergarden, Violet",Main,36402,https://myanimelist.net/character/141354/Violet_Evergarden
Look Back,"Fujino, Ayumu",Main,59,https://myanimelist.net/character/199287/Ayumu_Fujino
Look Back,Kyoumoto,Main,120,https://myanimelist.net/character/199997/Kyoumoto
Kimi no Na wa.,"Miyamizu, Mitsuha",Main,7681,https://myanimelist.net/character/137467/Mitsuha_Miyamizu
Kimi no Na wa.,"Tachibana, Taki",Main,3260,https://myanimelist.net/character/136805/Taki_Tachibana
Kingdom 3rd Season,"He Liao, Diao",Main,154,https://myanimelist.net/character/65407/Diao_He_Liao
Kingdom 3rd Season,"Lei, Qiang",Main,1542,https://myanimelist.net/character/65445/Qiang_Lei
Kingdom 3rd Season,Xin,Main,3097,https://myanimelist.net/character/64573/Xin
Kingdom 3rd Season,"Ying, Zheng",Main,521,https://myanimelist.net/character/64109/Zheng_Ying
Vinland Saga Season 2,Einar,Main,271,https://myanimelist.net/character/28030/Einar
Vinland Saga Season 2,Thorfinn,Main,29673,https://myanimelist.net/character/10138/Thorfinn
Boku no Kokoro no Yabai Yatsu 2nd Season,"Ichikawa, Kyoutarou",Main,1128,https://myanimelist.net/character/185229/Kyoutarou_Ichikawa
Boku no Kokoro no Yabai Yatsu 2nd Season,"Yamada, Anna",Main,2612,https://myanimelist.net/character/182379/Anna_Yamada
Jujutsu Kaisen 2nd Season,"Fushiguro, Megumi",Main,12633,https://myanimelist.net/character/164470/Megumi_Fushiguro
Jujutsu Kaisen 2nd Season,"Getou, Suguru",Main,5344,https://myanimelist.net/character/175542/Suguru_Getou
Jujutsu Kaisen 2nd Season,"Gojou, Satoru",Main,61335,https://myanimelist.net/character/164471/Satoru_Gojou
Jujutsu Kaisen 2nd Season,"Itadori, Yuuji",Main,16721,https://myanimelist.net/character/163847/Yuuji_Itadori
Jujutsu Kaisen 2nd Season,"Kugisaki, Nobara",Main,10635,https://myanimelist.net/character/164472/Nobara_Kugisaki
Mob Psycho 100 II,Ekubo,Main,1636,https://myanimelist.net/character/125034/Ekubo
Mob Psycho 100 II,"Kageyama, Shigeo",Main,25992,https://myanimelist.net/character/109929/Shigeo_Kageyama
Mob Psycho 100 II,"Reigen, Arataka",Main,38349,https://myanimelist.net/character/109931/Arataka_Reigen
Kizumonogatari III: Reiketsu-hen,"Hanekawa, Tsubasa",Main,10894,https://myanimelist.net/character/22055/Tsubasa_Hanekawa
Bocchi the Rock!,"Gotou, Hitori",Main,14524,https://myanimelist.net/character/206276/Hitori_Gotou
Bocchi the Rock!,"Ijichi, Nijika",Main,2362,https://myanimelist.net/character/206277/Nijika_Ijichi
Bocchi the Rock!,"Kita, Ikuyo",Main,2264,https://myanimelist.net/character/206279/Ikuyo_Kita
Bocchi the Rock!,"Yamada, Ryou",Main,4007,https://myanimelist.net/character/206278/Ryou_Yamada
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"Hinata, Shouyou",Main,19005,https://myanimelist.net/character/64769/Shouyou_Hinata
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"Kageyama, Tobio",Main,14461,https://myanimelist.net/character/64771/Tobio_Kageyama
Hajime no Ippo,"Aoki, Masaru",Main,342,https://myanimelist.net/character/846/Masaru_Aoki
Hajime no Ippo,"Kamogawa, Genji",Main,285,https://myanimelist.net/character/10156/Genji_Kamogawa
Hajime no Ippo,"Kimura, Tatsuya",Main,234,https://myanimelist.net/character/847/Tatsuya_Kimura
Hajime no Ippo,"Makunouchi, Ippo",Main,8080,https://myanimelist.net/character/15/Ippo_Makunouchi
Hajime no Ippo,"Takamura, Mamoru",Main,7249,https://myanimelist.net/character/845/Mamoru_Takamura
Sen to Chihiro no Kamikakushi,Haku,Main,2554,https://myanimelist.net/character/385/Haku
Sen to Chihiro no Kamikakushi,"Ogino, Chihiro",Main,1904,https://myanimelist.net/character/384/Chihiro_Ogino
Monogatari Series: Second Season,"Kaiki, Deishuu",Main,12895,https://myanimelist.net/character/53641/Deishuu_Kaiki
The First Slam Dunk,"Akagi, Takenori",Main,199,https://myanimelist.net/character/314/Takenori_Akagi
The First Slam Dunk,"Mitsui, Hisashi",Main,1018,https://myanimelist.net/character/313/Hisashi_Mitsui
The First Slam Dunk,"Miyagi, Ryouta",Main,797,https://myanimelist.net/character/312/Ryouta_Miyagi
The First Slam Dunk,"Rukawa, Kaede",Main,737,https://myanimelist.net/character/311/Kaede_Rukawa
The First Slam Dunk,"Sakuragi, Hanamichi",Main,8170,https://myanimelist.net/character/310/Hanamichi_Sakuragi
Cowboy Bebop,"Black, Jet",Main,2170,https://myanimelist.net/character/3/Jet_Black
Cowboy Bebop,"Spiegel, Spike",Main,47167,https://myanimelist.net/character/1/Spike_Spiegel
Cowboy Bebop,"Valentine, Faye",Main,9196,https://myanimelist.net/character/2/Faye_Valentine
Cowboy Bebop,"Wong Hau Pepelu Tivrusky IV, Edward",Main,6018,https://myanimelist.net/character/16/Edward_Wong_Hau_Pepelu_Tivrusky_IV
